"68","20","HC-0026","HC-0026-IE01","36070","CPE","10.110.0.143","CAMBIUM",\N,\N,"0901030036","24",\N,\N,"CAMBIUM"
"69","20","HC-0026","HC-0026-IE02","RICARDO PALMA","CPE","10.110.0.144","CAMBIUM",\N,\N,"0901030036","24",\N,\N,"CAMBIUM"
"70","20","HC-0026","HC-0026 dir HC-0293",\N,"NODO","","SIAE",\N,\N,"0901030036","24",\N,\N,"SIAE"
"71","25","HC-0027","HC-0027-CS01","SAN ANTONIO (AùAYLLA)","CPE","10.110.8.78","CAMBIUM",\N,\N,"0901030050","24",\N,\N,"CAMBIUM"
"72","25","HC-0027","HC-0027-IE01","36386","CPE","10.110.0.145","CAMBIUM",\N,\N,"0901030050","24",\N,\N,"CAMBIUM"
"73","25","HC-0027","HC-0027 dir HC-0293",\N,"NODO","","CAMBIUM",\N,\N,"0901030050","24",\N,\N,"CAMBIUM"
"74","207","HC-0028","HC-0028-CO01","CPNP VILLA DE ARMA","CPE","10.110.16.4","CAMBIUM",\N,\N,"0904020001","24",\N,\N,"CAMBIUM"
"75","207","HC-0028","HC-0028-CS01","VILLA DE ARMA","CPE","10.110.8.20","CAMBIUM",\N,\N,"0904020001","24",\N,\N,"CAMBIUM"
"76","207","HC-0028","HC-0028-IE01","22051 - DOMINGO SALDAùA G.","CPE","10.110.0.41","CAMBIUM",\N,\N,"0904020001","24",\N,\N,"CAMBIUM"
"77","207","HC-0028","HC-0028-IE02","SAN MIGUEL","CPE","10.110.0.42","CAMBIUM",\N,\N,"0904020001","24",\N,\N,"CAMBIUM"
"79","230","HC-0029","HC-0029-IE01","31207","CPE","10.110.0.73","CAMBIUM",\N,\N,"0905030021","24",\N,\N,"CAMBIUM"
"80","230","HC-0029","HC-0029-IE02","TUPAC AMARU","CPE","10.110.0.74","CAMBIUM",\N,\N,"0905030021","24",\N,\N,"CAMBIUM"
"81","230","HC-0029","HC-0029 dir HC-0211",\N,"NODO","","CAMBIUM",\N,\N,"0905030021","24",\N,\N,"CAMBIUM"
"82","310","HC-0031","HC-0031-IE01","31051","CPE","10.110.0.160","CAMBIUM",\N,\N,"0907060036","24",\N,\N,"CAMBIUM"
"83","310","HC-0031","HC-0031 dir HC-0176",\N,"NODO","","SIAE",\N,\N,"0907060036","24",\N,\N,"SIAE"
"84","209","HC-0032","HC-0032-CO01","CPNP AURAHUA","CPE","10.110.16.5","CAMBIUM",\N,\N,"0904030001","24",\N,\N,"CAMBIUM"
"85","209","HC-0032","HC-0032-CS01","AURAHUA","CPE","10.110.8.22","CAMBIUM",\N,\N,"0904030001","24",\N,\N,"CAMBIUM"
"86","209","HC-0032","HC-0032-IE01","22001","CPE","10.110.0.43","CAMBIUM",\N,\N,"0904030001","24",\N,\N,"CAMBIUM"
"87","209","HC-0032","HC-0032-IE02","CESAR ABRAHAM VALLEJO MENDOZA","CPE","10.110.0.44","CAMBIUM",\N,\N,"0904030001","24",\N,\N,"CAMBIUM"
"89","318","HC-0033","HC-0033-CS01","AYACANCHA","CPE","10.110.8.183","CAMBIUM",\N,\N,"0907090048","24",\N,\N,"CAMBIUM"
"90","318","HC-0033","HC-0033-IE01","31060","CPE","10.110.1.67","CAMBIUM",\N,\N,"0907090048","24",\N,\N,"CAMBIUM"
"91","318","HC-0033","HC-0033-IE02","GERMAN CARO RIOS","CPE","10.110.1.68","CAMBIUM",\N,\N,"0907090048","24",\N,\N,"CAMBIUM"
"92","318","HC-0033","HC-0033 dir HC-0223",\N,"NODO","","SIAE",\N,\N,"0907090048","24",\N,\N,"SIAE"
"93","29","HC-0034","HC-0034-CS01","AYACCOCHA","CPE","10.110.8.46","CAMBIUM",\N,\N,"0901030062","24",\N,\N,"CAMBIUM"
"94","29","HC-0034","HC-0034-IE01","SIMON BOLIVAR","CPE","10.110.0.94","CAMBIUM",\N,\N,"0901030062","24",\N,\N,"CAMBIUM"
"95","29","HC-0034","HC-0034 dir HC-0373",\N,"NODO","","SIAE",\N,\N,"0901030062","24",\N,\N,"SIAE"
